vessel_id,vessel_name,vessel_flag,vessel_type,ssvid,event_start,event_end,duration_hrs,avg_speed_knots,total_distance_km,bbox_area_km2,net_displacement_ratio,lat,lon,dist_shore_km,dist_port_km,in_mpa,in_mpa_no_take,in_mpa_partial,on_high_seas,eez,rfmo,auth_status,potential_risk_flag,mpa_tier_weight,auth_multiplier,high_seas_mult,risk_flag_mult,risk_score
e1c470f97-7873-591c-226d-c0e2881b87fd,ZHELINGYU28999,CHN,fishing,412417494,2022-12-31 08:19:24+00:00,2023-01-01 10:00:46+00:00,25.69,2.687,108.76,1293.64,0.5957,28.0985,123.6354,149.0,146.94,0,0,0,0,['8486'],"['IWC', 'ACAP', 'APFIC', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
1e1097ea6-61d3-97ec-381f-05ef532725e9,DAEHYEON2HO,KOR,fishing,440321160,2022-12-31 08:19:34+00:00,2023-01-01 05:04:52+00:00,20.75,2.325,63.01,16.82,0.092,34.1107,127.5714,16.0,23.98,0,0,0,0,['8327'],"['ACAP', 'WCPFC', 'PICES', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
e75c56be2-2a86-fc30-bada-5dc23b2e255d,FU YUAN YU810,CHN,fishing,412440333,2022-12-31 08:19:41+00:00,2023-01-01 05:48:25+00:00,21.48,3.553,124.59,86.29,0.1257,20.442,-17.4259,59.0,58.54,0,0,0,0,['8369'],"['IWC', 'ICCAT', 'NAMMCO', 'SRFC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
bd65496f5-5a88-f31b-2546-7013ae3e2b2d,CAO NOI48  F32,VNM,fishing,574710097,2022-12-31 08:23:37+00:00,2023-01-01 06:21:55+00:00,21.97,1.798,60.51,224.74,0.4601,9.2013,107.1676,58.0,120.09,0,0,0,0,['8484'],"['APFIC', 'SEAFDEC', 'WCPFC', 'IWC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
02d59e029-9f6e-bb5a-7f12-dd474fec4103,IONA,CMR,fishing,613003744,2022-12-31 08:24:19+00:00,2023-01-01 05:04:03+00:00,20.66,0.441,17.39,0.27,0.0422,59.852,25.8571,18.0,25.99,0,0,0,0,['5675'],"['ICES', 'ACAP', 'NASCO', 'IWC', 'ICCAT', 'NAMMCO']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
045239ac1-1cdd-a1d6-19cf-307c21d6357f,JI HAI YU 01087,CHN,fishing,412420403,2022-12-31 08:24:24+00:00,2023-01-01 08:41:19+00:00,24.28,3.196,117.36,491.03,0.277,28.2403,123.7477,159.0,157.17,0,0,0,0,['8486'],"['IWC', 'WCPFC', 'APFIC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
ec647cdf0-0a54-f8b8-24de-eac0ea8ea0e5,ZHEXIANGYU42033,CHN,fishing,412435307,2022-12-31 08:25:50+00:00,2023-01-01 07:16:06+00:00,22.84,3.574,148.86,1615.28,0.3834,31.1481,123.8381,74.0,45.96,0,0,0,0,['8486'],"['WCPFC', 'IWC', 'ACAP', 'PICES']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
7eb22cce0-0db2-4380-5d1a-5bf89029d862,ZHEDINGYU12133,CHN,fishing,412424508,2022-12-29 13:59:17+00:00,2023-01-02 05:05:29+00:00,87.1,2.202,325.15,163.8,0.0868,29.8069,123.2333,65.0,54.27,0,0,0,0,['8486'],"['IWC', 'APFIC', 'WCPFC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
bf211b1eb-b5b6-1dde-89e5-18cbfa6c4e7c,GUL-E-SARWAR-1,PAK,fishing,463885626,2022-12-29 16:45:28+00:00,2023-01-03 13:42:38+00:00,116.95,1.98,401.01,1623.32,0.1482,24.5715,66.8829,53.0,32.2,0,0,0,0,['8359'],"['IOTC', 'ACAP', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
1ab5d2244-47f8-18b2-4db1-2a9a69f6fb02,RA PA YEL HO,KOR,fishing,440304710,2022-12-31 09:50:36+00:00,2023-01-01 02:13:39+00:00,16.38,2.317,51.28,25.56,0.3014,36.5262,125.345,26.0,70.68,0,0,0,0,['8327'],"['ACAP', 'IWC', 'WCPFC', 'PICES']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
