speed,lat,lon,is_fishing,shiptype,label
7.3000001907,-0.9607250094,-101.0134506226,0.75,unknown,1
4.0999999046,45.6818809509,-124.2806396484,1.0,trollers,1
2.4000000954,57.8717002869,-173.4227294922,1.0,drifting_longlines,1
4.5,12.0140962601,-31.6543426514,1.0,drifting_longlines,1
4.0,61.0082397461,-4.3244199753,1.0,trawlers,1
3.4000000954000003,1.6787899733000002,179.0460510254,1.0,drifting_longlines,1
3.2000000477,72.4633102417,7.1677899361,1.0,trawlers,1
6.3000001907000005,-23.2613124847,164.6044006348,1.0,drifting_longlines,1
4.0999999046,74.201965332,20.8483791351,1.0,trawlers,1
11.1000003815,-7.6215000153,-118.9390029907,0.6666667,drifting_longlines,1
3.7000000477,3.981169939,-154.1517944336,1.0,drifting_longlines,1
